Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Šamanić,PF,21,SAS,4,0,2.8,0.5,1.5,.333,0.5,0.8,.667,0.0,0.8,.000,.500,0.3,0.5,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
JaKarr Sampson,PF,27,IND,8,0,7.4,1.0,2.3,.444,0.0,0.3,.000,1.0,2.0,.500,.444,0.5,0.6,.800,0.8,1.9,2.6,0.0,0.1,0.4,0.1,0.9,2.5
Dario Šarić,PF,26,PHO,7,0,18.9,3.7,8.3,.448,1.4,4.0,.357,2.3,4.3,.533,.534,1.7,1.9,.923,0.4,4.1,4.6,1.0,0.6,0.1,1.6,2.0,10.6
Tomáš Satoranský,SG,29,CHI,7,0,18.3,1.7,3.9,.444,0.7,1.7,.417,1.0,2.1,.467,.537,0.9,1.1,.750,0.3,1.6,1.9,4.9,1.0,0.1,2.0,1.1,5.0
Dennis Schröder,SG,27,LAL,21,21,30.7,4.9,11.9,.414,1.0,3.4,.296,3.9,8.5,.461,.456,2.7,3.3,.800,0.6,3.0,3.7,4.3,1.0,0.1,2.1,2.5,13.5
Mike Scott,PF,32,PHI,8,2,19.1,1.8,5.5,.318,1.1,4.5,.250,0.6,1.0,.625,.420,0.3,0.4,.667,0.5,2.3,2.8,0.1,0.3,0.3,0.4,1.3,4.9
Collin Sexton,SG,22,CLE,14,14,34.4,9.1,18.0,.504,1.8,4.1,.439,7.3,13.9,.523,.554,4.6,5.7,.813,0.7,1.9,2.6,4.3,1.1,0.2,2.6,3.1,24.6
Landry Shamet,SG,23,BRK,17,0,17.4,1.6,4.9,.337,1.1,3.7,.302,0.5,1.2,.450,.452,0.9,1.1,.889,0.2,1.2,1.4,1.1,0.6,0.1,0.7,1.3,5.4
Pascal Siakam,PF,26,TOR,16,16,35.6,7.2,16.0,.449,1.1,4.3,.250,6.1,11.8,.521,.482,3.5,4.6,.757,2.4,5.5,7.9,4.4,0.8,0.5,2.6,3.4,18.9
Chris Silva,PF,24,MIA,6,0,8.8,1.0,1.5,.667,0.2,0.2,1.000,0.8,1.3,.625,.722,1.7,2.0,.833,1.2,1.8,3.0,1.0,0.2,0.3,1.3,2.3,3.8
Ben Simmons,PG,24,PHI,18,18,32.6,4.8,9.2,.518,0.1,0.3,.167,4.7,8.9,.531,.521,3.3,5.1,.648,1.4,6.9,8.3,7.9,1.6,0.8,3.4,3.4,12.9
Anfernee Simons,SG,21,POR,15,0,14.9,2.6,6.6,.394,1.9,4.5,.412,0.7,2.1,.355,.535,0.3,0.4,.667,0.3,2.0,2.3,0.7,0.1,0.2,0.7,1.4,7.3
Deividas Sirvydis,SG,20,DET,3,0,1.0,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Smart,PG,26,BOS,17,17,32.3,4.4,11.1,.394,1.6,5.3,.311,2.7,5.8,.469,.468,2.7,3.6,.742,0.4,2.4,2.8,6.1,1.8,0.5,1.8,2.3,13.1
Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
Ish Smith,PG,32,WAS,11,0,19.3,2.5,6.5,.394,0.4,1.1,.333,2.2,5.4,.407,.423,0.5,1.2,.385,0.5,2.8,3.4,4.0,0.6,0.3,1.0,1.1,5.9
Jalen Smith,PF,20,PHO,5,0,7.8,1.2,2.8,.429,0.4,1.0,.400,0.8,1.8,.444,.500,0.0,0.4,.000,1.0,0.6,1.6,0.2,0.0,0.4,0.2,0.6,2.8
Tony Snell,SG,29,ATL,9,0,8.3,0.4,2.0,.222,0.4,1.6,.286,0.0,0.4,.000,.333,0.0,0.0,0,0.3,0.7,1.0,0.4,0.0,0.1,0.3,1.2,1.3
Cassius Stanley,SG,21,IND,8,0,2.9,0.3,0.9,.286,0.1,0.3,.500,0.1,0.6,.200,.357,0.5,0.6,.800,0.3,0.1,0.4,0.0,0.0,0.3,0.1,0.9,1.1
Lamar Stevens,PF,23,CLE,10,0,12.9,1.5,3.7,.405,0.1,0.7,.143,1.4,3.0,.467,.419,0.8,1.0,.800,0.3,1.7,2.0,0.7,0.4,0.0,0.3,0.6,3.9
Isaiah Stewart,C,19,DET,18,0,17.6,1.9,4.3,.455,0.0,0.1,.000,1.9,4.2,.467,.455,0.9,1.3,.739,2.7,2.7,5.4,0.7,0.4,0.9,0.7,2.6,4.8
Max Strus,SF,24,MIA,10,0,15.0,2.0,4.4,.455,1.2,3.5,.343,0.8,0.9,.889,.591,0.3,0.5,.600,0.1,1.1,1.2,0.6,0.1,0.0,0.2,1.2,5.5
Edmond Sumner,SG,25,IND,10,4,11.9,2.2,4.3,.512,0.5,1.6,.313,1.7,2.7,.630,.570,0.6,1.0,.600,0.5,1.3,1.8,0.6,0.8,0.0,1.0,1.4,5.5
Jae'Sean Tate,SF,25,HOU,18,8,25.6,3.3,6.4,.513,0.6,1.8,.333,2.7,4.6,.585,.561,1.1,1.6,.655,1.4,3.3,4.7,1.6,0.9,0.7,1.2,2.8,8.2
Jayson Tatum,SF,22,BOS,13,13,34.8,10.3,21.3,.484,3.1,7.1,.435,7.2,14.2,.508,.556,3.1,3.7,.833,0.5,6.5,7.0,3.7,1.2,0.7,2.5,1.7,26.8
Jeff Teague,PG,32,BOS,16,2,18.0,1.9,6.1,.320,0.6,1.5,.417,1.3,4.6,.288,.371,1.3,1.5,.875,0.3,1.7,1.9,2.3,1.1,0.2,0.9,1.1,5.8
Garrett Temple,SG,34,CHI,17,2,26.5,3.5,7.6,.457,1.8,4.5,.408,1.6,3.1,.528,.578,0.8,1.0,.824,0.4,2.4,2.7,1.7,1.1,0.3,1.3,2.6,9.6
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
Daniel Theis,C,28,BOS,18,14,23.2,3.9,6.4,.617,0.7,1.9,.382,3.2,4.5,.716,.674,1.1,1.4,.760,1.3,3.7,5.1,1.2,0.6,0.9,1.1,2.7,9.7
Brodric Thomas,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
Matt Thomas,SG,26,TOR,9,0,7.7,1.2,2.6,.478,1.0,1.8,.563,0.2,0.8,.286,.674,0.4,0.4,1.000,0.1,0.7,0.8,0.6,0.2,0.0,0.4,0.4,3.9
Tristan Thompson,PF,29,BOS,16,14,22.2,2.4,5.3,.447,0.0,0.1,.000,2.4,5.3,.452,.447,1.1,1.8,.643,2.7,5.7,8.4,0.8,0.3,0.6,1.0,2.4,5.9
Sindarius Thornwell,SG,26,NOP,6,1,6.8,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,0.0,0.3,.000,0.2,0.3,0.5,0.3,0.7,0.0,0.2,0.3,1.7
Matisse Thybulle,SG,23,PHI,17,0,15.6,1.1,3.2,.327,0.5,2.1,.229,0.6,1.2,.500,.400,0.2,0.4,.571,0.2,1.0,1.2,0.7,1.4,0.8,0.3,1.9,2.8
Xavier Tillman Sr.,PF,22,MEM,9,2,20.8,3.9,7.2,.538,0.2,1.2,.182,3.7,6.0,.611,.554,0.3,0.6,.600,1.1,3.0,4.1,1.8,1.3,0.7,0.3,2.2,8.3
Obi Toppin,PF,22,NYK,10,0,12.5,2.0,4.7,.426,0.6,2.1,.286,1.4,2.6,.538,.489,0.3,0.5,.600,0.3,2.7,3.0,0.7,0.2,0.6,0.6,0.6,4.9
Juan Toscano-Anderson,SG,27,GSW,7,2,14.0,1.1,1.9,.615,0.4,1.1,.375,0.7,0.7,1.000,.731,0.4,0.7,.600,0.1,2.9,3.0,1.7,0.3,0.6,0.7,1.6,3.1
Karl-Anthony Towns,C,25,MIN,4,4,33.0,7.3,15.8,.460,1.5,4.0,.375,5.8,11.8,.489,.508,6.0,6.3,.960,4.0,8.5,12.5,4.3,0.5,2.8,2.5,2.8,22.0
Gary Trent Jr.,SG,22,POR,16,3,26.8,4.6,10.5,.440,2.8,6.4,.437,1.8,4.1,.446,.574,0.6,0.9,.667,0.4,1.3,1.6,1.1,0.7,0.1,0.6,1.6,12.7
P.J. Tucker,PF,35,HOU,18,18,31.1,1.9,4.2,.453,1.0,2.6,.391,0.9,1.6,.552,.573,0.6,0.7,.769,0.9,3.7,4.6,1.3,0.9,0.8,1.1,3.2,5.3
Myles Turner,C,24,IND,17,17,32.6,5.2,10.2,.514,1.5,4.6,.333,3.7,5.6,.663,.590,2.4,3.2,.745,1.4,5.4,6.8,1.1,1.3,4.1,1.6,3.4,14.4
Jonas Valančiūnas,C,28,MEM,12,12,26.8,5.6,10.5,.532,0.3,1.2,.286,5.3,9.3,.563,.548,2.9,4.0,.729,2.7,7.8,10.4,1.8,0.8,1.0,2.3,3.7,14.4
Denzel Valentine,SG,27,CHI,14,0,17.9,2.6,6.7,.383,1.5,3.9,.382,1.1,2.8,.385,.495,0.1,0.1,1.000,0.2,3.6,3.8,1.8,0.8,0.1,0.7,0.9,6.8
Jarred Vanderbilt,PF,21,MIN,16,6,18.9,3.0,4.7,.640,0.1,0.1,1.000,2.9,4.6,.635,.647,0.9,2.1,.455,1.6,4.0,5.6,1.8,1.4,0.8,0.9,2.0,7.0
Fred VanVleet,SG,26,TOR,19,19,36.2,6.7,16.8,.400,3.2,8.8,.359,3.6,8.1,.444,.494,2.6,3.1,.862,0.8,3.7,4.5,6.5,1.7,0.6,1.7,2.1,19.3
Devin Vassell,SF,20,SAS,19,0,17.9,1.8,4.8,.380,1.0,2.5,.396,0.8,2.3,.364,.484,0.8,0.9,.889,0.6,2.8,3.4,1.2,1.2,0.3,0.3,1.1,5.5
Gabe Vincent,PG,24,MIA,12,5,20.8,3.0,8.6,.350,1.3,5.2,.242,1.8,3.4,.512,.422,1.3,1.4,.882,0.1,1.5,1.6,2.1,0.5,0.1,1.5,2.3,8.5
Nikola Vučević,C,30,ORL,20,20,33.1,9.3,19.1,.487,2.7,6.1,.446,6.6,13.1,.506,.558,1.7,2.0,.825,2.3,8.4,10.7,3.5,1.1,0.5,1.6,1.8,23.0
Dean Wade,PF,24,CLE,16,0,9.6,0.7,2.0,.344,0.4,1.3,.333,0.3,0.7,.364,.453,0.1,0.1,1.000,0.3,0.9,1.1,0.6,0.3,0.1,0.5,0.8,1.9
Moritz Wagner,C,23,WAS,6,0,13.0,1.8,2.8,.647,0.7,1.2,.571,1.2,1.7,.700,.765,1.0,1.3,.750,0.5,3.5,4.0,0.7,0.2,0.0,0.3,3.3,5.3
Kemba Walker,PG,30,BOS,6,6,24.8,5.2,13.8,.373,2.0,6.8,.293,3.2,7.0,.452,.446,2.0,2.3,.857,0.0,3.2,3.2,4.2,1.7,0.2,2.0,1.3,14.3
Lonnie Walker,SG,22,SAS,20,20,28.7,4.5,10.6,.422,1.9,4.8,.389,2.6,5.8,.448,.509,1.3,1.7,.788,0.3,2.9,3.2,1.9,0.6,0.5,1.1,2.2,12.1
John Wall,PG,30,HOU,11,11,30.7,6.5,15.1,.434,1.6,4.9,.333,4.9,10.2,.482,.488,3.1,3.8,.810,0.6,3.3,3.9,5.8,1.0,0.8,2.9,1.3,17.8
Brad Wanamaker,PG,31,GSW,20,0,16.5,1.6,4.5,.356,0.4,1.8,.229,1.2,2.8,.436,.400,1.3,1.5,.862,0.2,1.5,1.7,2.9,0.8,0.2,0.8,1.6,4.9
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
P.J. Washington,PF,22,CHO,20,20,29.3,4.5,10.1,.448,1.2,3.6,.338,3.3,6.5,.508,.507,2.4,3.2,.746,1.8,5.1,6.9,3.0,1.0,1.4,2.1,2.8,12.6
Yuta Watanabe,SF,26,TOR,13,0,12.2,1.1,3.2,.341,0.7,1.7,.409,0.4,1.5,.263,.451,0.5,0.5,1.000,0.9,2.7,3.6,0.5,0.5,0.6,0.5,1.0,3.3
Tremont Waters,PG,23,BOS,6,1,10.2,0.8,2.8,.294,0.5,1.3,.375,0.3,1.5,.222,.382,0.7,0.7,1.000,0.3,0.5,0.8,2.8,0.5,0.0,2.0,0.8,2.8
Paul Watson,SF,26,TOR,8,0,2.8,0.5,0.8,.667,0.4,0.5,.750,0.1,0.3,.500,.917,0.0,0.0,0,0.1,0.5,0.6,0.0,0.0,0.1,0.1,0.6,1.4
Quinndary Weatherspoon,SG,24,SAS,2,0,2.0,0.0,0.5,.000,0.0,0.0,0,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0
Russell Westbrook,PG,32,WAS,10,10,34.1,6.9,18.1,.381,1.5,4.5,.333,5.4,13.6,.397,.423,3.6,5.5,.655,1.2,8.1,9.3,9.6,0.9,0.3,5.0,2.9,18.9
Coby White,PG,20,CHI,18,18,33.7,5.6,13.7,.407,2.3,6.4,.365,3.2,7.3,.443,.492,2.1,2.4,.860,0.4,4.4,4.8,5.7,0.4,0.1,2.6,2.7,15.5
Derrick White,SG,26,SAS,2,0,22.5,4.5,10.0,.450,2.0,5.0,.400,2.5,5.0,.500,.550,2.5,3.0,.833,0.0,1.5,1.5,1.0,1.0,1.0,1.5,1.5,13.5
Hassan Whiteside,C,31,SAC,12,0,14.1,3.1,5.2,.597,0.0,0.1,.000,3.1,5.1,.607,.597,1.5,2.9,.514,1.2,3.5,4.7,0.5,0.3,1.1,1.0,1.4,7.7
Andrew Wiggins,PF,25,GSW,20,20,31.4,6.8,14.4,.472,2.1,5.1,.406,4.8,9.4,.508,.543,2.2,3.3,.677,1.2,3.7,4.9,2.2,0.6,1.5,1.6,2.6,17.9
Grant Williams,PF,22,BOS,15,4,17.4,1.7,4.1,.419,0.8,1.9,.414,0.9,2.2,.424,.516,0.4,0.9,.429,1.1,1.9,3.1,0.7,0.5,0.3,0.9,3.0,4.7
Kenrich Williams,PF,26,OKC,18,0,12.1,1.3,2.8,.451,0.3,0.8,.333,1.0,2.0,.500,.500,0.4,0.6,.800,0.9,1.6,2.5,1.1,0.5,0.2,0.4,1.4,3.3
Lou Williams,PG,34,LAC,18,0,19.6,3.3,8.5,.386,0.9,2.3,.381,2.4,6.2,.387,.438,1.9,2.3,.854,0.3,1.7,2.0,2.8,0.7,0.1,1.0,0.9,9.4
Patrick Williams,PF,19,CHI,17,17,25.4,3.6,7.7,.466,1.0,2.3,.436,2.6,5.4,.478,.531,1.4,1.6,.821,0.9,2.9,3.8,1.0,0.8,0.6,1.6,2.4,9.5
Robert Williams,C,23,BOS,13,0,15.5,2.8,3.7,.750,0.0,0.1,.000,2.8,3.6,.766,.750,0.7,0.8,.900,2.5,3.7,6.2,0.8,0.9,1.5,1.2,1.5,6.2
Zion Williamson,PF,20,NOP,17,17,32.9,9.4,15.9,.587,0.1,0.5,.250,9.2,15.5,.597,.590,5.1,7.6,.667,2.9,4.6,7.5,2.3,1.0,0.5,2.6,2.5,23.9
D.J. Wilson,PF,24,MIL,7,0,10.1,1.6,3.7,.423,1.0,2.3,.438,0.6,1.4,.400,.558,0.1,0.3,.500,0.4,2.3,2.7,0.4,0.1,0.3,0.6,1.3,4.3
Dylan Windler,SF,24,CLE,6,0,18.5,2.3,4.3,.538,1.3,3.0,.444,1.0,1.3,.750,.692,0.7,0.7,1.000,0.3,2.5,2.8,0.7,1.2,0.3,0.8,1.5,6.7
Cassius Winston,PG,22,WAS,5,0,8.6,0.8,2.0,.400,0.6,1.4,.429,0.2,0.6,.333,.550,0.4,0.4,1.000,0.0,0.8,0.8,1.2,0.0,0.2,0.2,0.8,2.6
James Wiseman,C,19,GSW,20,16,21.0,4.9,9.8,.500,0.5,1.1,.409,4.5,8.7,.511,.523,1.9,3.1,.623,1.5,4.6,6.1,0.7,0.4,1.3,1.6,3.2,12.2
Christian Wood,C,25,HOU,14,14,33.0,9.4,16.9,.553,1.8,4.7,.379,7.6,12.2,.620,.605,3.1,4.5,.698,1.9,8.9,10.7,1.2,0.8,1.6,2.0,2.0,23.6
Robert Woodard,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
Delon Wright,SG,28,DET,20,15,27.1,3.1,7.4,.422,0.9,2.5,.360,2.2,4.9,.454,.483,1.9,2.4,.809,1.0,3.6,4.5,4.6,1.2,0.6,1.1,1.1,9.0
Thaddeus Young,PF,32,CHI,14,0,24.5,4.6,8.1,.561,0.3,1.2,.235,4.3,6.9,.619,.579,0.7,1.4,.526,2.2,3.0,5.2,4.1,1.1,0.4,1.9,2.6,10.1
Trae Young,PG,22,ATL,18,18,34.1,7.6,18.1,.420,2.3,6.3,.368,5.3,11.8,.448,.485,9.4,10.7,.885,0.9,3.3,4.2,8.6,0.7,0.2,4.1,2.0,27.0
Cody Zeller,C,28,CHO,7,4,21.7,3.3,7.1,.460,0.0,1.1,.000,3.3,6.0,.548,.460,1.3,1.9,.692,2.6,5.4,8.0,2.4,0.7,0.6,0.7,2.0,7.9
Ivica Zubac,C,23,LAC,20,1,18.8,2.9,4.2,.679,0.0,0.0,0,2.9,4.2,.679,.679,2.0,2.4,.833,2.0,4.0,6.0,1.0,0.4,0.9,1.0,2.5,7.7
